"Altitude[m]","Temperature[Kelvin]","Pressure[pascal]","Density[kg/m3]","Speed of sound[m/s]","Viscosity[Pa.s]"
24850,221.5,2569.77,0.0404166,298.354,0.000014596
24900,221.55,2550.03,0.0400971,298.388,0.0000145988
24950,221.6,2530.45,0.0397801,298.421,0.0000146016
25000,221.65,2511.02,0.0394658,298.455,0.0000146044
25050,221.7,2491.75,0.039154,298.489,0.0000146072
25100,221.75,2472.63,0.0388448,298.522,0.00001461
25150,221.8,2453.65,0.0385381,298.556,0.0000146128
25200,221.85,2434.83,0.0382338,298.59,0.0000146156
25250,221.9,2416.16,0.0379321,298.623,0.0000146184
25300,221.95,2397.63,0.0376327,298.657,0.0000146212
25350,222,2379.25,0.0373358,298.691,0.000014624
25400,222.05,2361.02,0.0370414,298.724,0.0000146268
25450,222.1,2342.93,0.0367493,298.758,0.0000146296
25500,222.15,2324.98,0.0364595,298.791,0.0000146324
25550,222.2,2307.17,0.0361721,298.825,0.0000146352
25600,222.25,2289.51,0.0358871,298.859,0.000014638
25650,222.3,2271.98,0.0356044,298.892,0.0000146408
25700,222.35,2254.59,0.0353239,298.926,0.0000146436
25750,222.4,2237.34,0.0350457,298.96,0.0000146464
25800,222.45,2220.22,0.0347698,298.993,0.0000146492
25850,222.5,2203.24,0.0344961,299.027,0.000014652
25900,222.55,2186.39,0.0342246,299.06,0.0000146548
25950,222.6,2169.68,0.0339553,299.094,0.0000146576
26000,222.65,2153.09,0.0336882,299.128,0.0000146604
26050,222.7,2136.64,0.0334233,299.161,0.0000146632
26100,222.75,2120.32,0.0331605,299.195,0.000014666
26150,222.8,2104.12,0.0328998,299.228,0.0000146688
26200,222.85,2088.05,0.0326413,299.262,0.0000146716
26250,222.9,2072.11,0.0323848,299.295,0.0000146744
26300,222.95,2056.29,0.0321304,299.329,0.0000146772
26350,223,2040.6,0.031878,299.363,0.00001468
26400,223.05,2025.03,0.0316277,299.396,0.0000146828
26450,223.1,2009.58,0.0313794,299.43,0.0000146856
26500,223.15,1994.26,0.0311331,299.463,0.0000146884
26550,223.2,1979.05,0.0308888,299.497,0.0000146912
26600,223.25,1963.97,0.0306465,299.53,0.000014694
26650,223.3,1949,0.0304061,299.564,0.0000146968
26700,223.35,1934.15,0.0301677,299.597,0.0000146996
26750,223.4,1919.41,0.0299312,299.631,0.0000147024
26800,223.45,1904.8,0.0296966,299.664,0.0000147052
26850,223.5,1890.29,0.0294638,299.698,0.000014708
26900,223.55,1875.9,0.029233,299.732,0.0000147108
26950,223.6,1861.62,0.029004,299.765,0.0000147136
27000,223.65,1847.46,0.0287769,299.799,0.0000147164
27050,223.7,1833.4,0.0285516,299.832,0.0000147192
27100,223.75,1819.46,0.0283281,299.866,0.000014722
27150,223.8,1805.62,0.0281064,299.899,0.0000147247
27200,223.85,1791.89,0.0278865,299.933,0.0000147275
27250,223.9,1778.27,0.0276683,299.966,0.0000147303
27300,223.95,1764.76,0.0274519,300,0.0000147331
27350,224,1751.35,0.0272373,300.033,0.0000147359
27400,224.05,1738.05,0.0270244,300.067,0.0000147387
27450,224.1,1724.85,0.0268131,300.1,0.0000147415
27500,224.15,1711.75,0.0266036,300.133,0.0000147443
27550,224.2,1698.76,0.0263958,300.167,0.0000147471
27600,224.25,1685.87,0.0261896,300.2,0.0000147499
27650,224.3,1673.08,0.0259851,300.234,0.0000147527
27700,224.35,1660.39,0.0257823,300.267,0.0000147555
27750,224.4,1647.79,0.025581,300.301,0.0000147582
27800,224.45,1635.3,0.0253814,300.334,0.000014761
27850,224.5,1622.9,0.0251834,300.368,0.0000147638
27900,224.55,1610.6,0.024987,300.401,0.0000147666
27950,224.6,1598.4,0.0247921,300.435,0.0000147694
28000,224.65,1586.29,0.0245988,300.468,0.0000147722
28050,224.7,1574.28,0.0244071,300.501,0.000014775
28100,224.75,1562.35,0.0242169,300.535,0.0000147778
28150,224.8,1550.53,0.0240282,300.568,0.0000147806
28200,224.85,1538.79,0.023841,300.602,0.0000147833
28250,224.9,1527.15,0.0236553,300.635,0.0000147861
28300,224.95,1515.59,0.0234712,300.669,0.0000147889
28350,225,1504.13,0.0232884,300.702,0.0000147917
28400,225.05,1492.75,0.0231072,300.735,0.0000147945
28450,225.1,1481.47,0.0229274,300.769,0.0000147973
28500,225.15,1470.27,0.022749,300.802,0.0000148001
28550,225.2,1459.16,0.0225721,300.836,0.0000148029
28600,225.25,1448.13,0.0223966,300.869,0.0000148056
28650,225.3,1437.19,0.0222225,300.902,0.0000148084
28700,225.35,1426.34,0.0220498,300.936,0.0000148112
28750,225.4,1415.57,0.0218784,300.969,0.000014814
28800,225.45,1404.89,0.0217084,301.003,0.0000148168
28850,225.5,1394.28,0.0215398,301.036,0.0000148196
28900,225.55,1383.76,0.0213726,301.069,0.0000148223
28950,225.6,1373.32,0.0212066,301.103,0.0000148251
29000,225.65,1362.96,0.021042,301.136,0.0000148279
29050,225.7,1352.69,0.0208787,301.169,0.0000148307
29100,225.75,1342.49,0.0207167,301.203,0.0000148335
29150,225.8,1332.37,0.020556,301.236,0.0000148363
29200,225.85,1322.33,0.0203966,301.269,0.000014839
29250,225.9,1312.37,0.0202385,301.303,0.0000148418
29300,225.95,1302.48,0.0200816,301.336,0.0000148446
29350,226,1292.68,0.0199259,301.369,0.0000148474
29400,226.05,1282.94,0.0197716,301.403,0.0000148502
29450,226.1,1273.29,0.0196184,301.436,0.000014853
29500,226.15,1263.7,0.0194664,301.469,0.0000148557
29550,226.2,1254.2,0.0193157,301.503,0.0000148585
29600,226.25,1244.76,0.0191662,301.536,0.0000148613
29650,226.3,1235.4,0.0190178,301.569,0.0000148641
29700,226.35,1226.11,0.0188707,301.603,0.0000148669
29750,226.4,1216.89,0.0187247,301.636,0.0000148696
29800,226.45,1207.75,0.0185798,301.669,0.0000148724
29850,226.5,1198.67,0.0184362,301.703,0.0000148752
29900,226.55,1189.67,0.0182936,301.736,0.000014878
29950,226.6,1180.73,0.0181522,301.769,0.0000148808
30000,226.65,1171.87,0.0180119,301.803,0.0000148835
30050,226.7,1163.07,0.0178728,301.836,0.0000148863
30100,226.75,1154.34,0.0177347,301.869,0.0000148891
30150,226.8,1145.68,0.0175978,301.902,0.0000148919
30200,226.85,1137.08,0.0174619,301.936,0.0000148946
30250,226.9,1128.55,0.0173271,301.969,0.0000148974
30300,226.95,1120.09,0.0171934,302.002,0.0000149002
30350,227,1111.69,0.0170607,302.036,0.000014903
30400,227.05,1103.36,0.0169291,302.069,0.0000149058
30450,227.1,1095.09,0.0167985,302.102,0.0000149085
30500,227.15,1086.88,0.016669,302.135,0.0000149113
30550,227.2,1078.74,0.0165405,302.169,0.0000149141
30600,227.25,1070.66,0.016413,302.202,0.0000149169
30650,227.3,1062.65,0.0162865,302.235,0.0000149196
30700,227.35,1054.69,0.016161,302.268,0.0000149224
30750,227.4,1046.8,0.0160365,302.301,0.0000149252
30800,227.45,1038.97,0.015913,302.335,0.000014928
30850,227.5,1031.19,0.0157905,302.368,0.0000149307
30900,227.55,1023.48,0.015669,302.401,0.0000149335
30950,227.6,1015.83,0.0155484,302.434,0.0000149363
31000,227.65,1008.23,0.0154288,302.468,0.000014939
31050,227.7,1000.7,0.0153101,302.501,0.0000149418
31100,227.75,993.218,0.0151923,302.534,0.0000149446
31150,227.8,985.797,0.0150755,302.567,0.0000149474
31200,227.85,978.434,0.0149596,302.6,0.0000149501
31250,227.9,971.127,0.0148446,302.634,0.0000149529
31300,227.95,963.876,0.0147306,302.667,0.0000149557
31350,228,956.681,0.0146174,302.7,0.0000149585
31400,228.05,949.541,0.0145051,302.733,0.0000149612
31450,228.1,942.456,0.0143937,302.766,0.000014964
31500,228.15,935.425,0.0142832,302.8,0.0000149668
31550,228.2,928.449,0.0141736,302.833,0.0000149695
31600,228.25,921.526,0.0140648,302.866,0.0000149723
31650,228.3,914.656,0.0139569,302.899,0.0000149751
31700,228.35,907.838,0.0138499,302.932,0.0000149778
31750,228.4,901.073,0.0137437,302.965,0.0000149806
31800,228.45,894.36,0.0136383,302.999,0.0000149834
31850,228.5,887.699,0.0135337,303.032,0.0000149862
31900,228.55,881.088,0.01343,303.065,0.0000149889
31950,228.6,874.528,0.0133271,303.098,0.0000149917
32000,228.65,868.019,0.013225,303.131,0.0000149945
32050,228.79,861.56,0.0131186,303.224,0.0000150022
32100,228.93,855.154,0.0130131,303.317,0.00001501
32150,229.07,848.799,0.0129085,303.409,0.0000150177
32200,229.21,842.495,0.0128048,303.502,0.0000150254
32250,229.35,836.241,0.012702,303.595,0.0000150332
32300,229.49,830.038,0.0126001,303.688,0.0000150409
32350,229.63,823.885,0.012499,303.78,0.0000150487
32400,229.77,817.781,0.0123989,303.873,0.0000150564
32450,229.91,811.725,0.0122996,303.965,0.0000150641
32500,230.05,805.719,0.0122011,304.058,0.0000150719
32550,230.19,799.76,0.0121035,304.15,0.0000150796
32600,230.33,793.849,0.0120068,304.243,0.0000150873
32650,230.47,787.985,0.0119108,304.335,0.000015095
32700,230.61,782.168,0.0118157,304.428,0.0000151028
32750,230.75,776.398,0.0117214,304.52,0.0000151105
32800,230.89,770.674,0.011628,304.612,0.0000151182
32850,231.03,764.995,0.0115353,304.705,0.0000151259
32900,231.17,759.361,0.0114434,304.797,0.0000151336
32950,231.31,753.772,0.0113523,304.889,0.0000151414
33000,231.45,748.228,0.011262,304.982,0.0000151491
33050,231.59,742.728,0.0111724,305.074,0.0000151568
33100,231.73,737.272,0.0110837,305.166,0.0000151645
33150,231.87,731.859,0.0109956,305.258,0.0000151722
33200,232.01,726.489,0.0109084,305.35,0.0000151799
33250,232.15,721.161,0.0108219,305.442,0.0000151876
33300,232.29,715.876,0.0107361,305.535,0.0000151953
33350,232.43,710.632,0.010651,305.627,0.000015203
33400,232.57,705.431,0.0105667,305.719,0.0000152107
33450,232.71,700.27,0.0104831,305.811,0.0000152184
33500,232.85,695.15,0.0104002,305.903,0.0000152261
33550,232.99,690.071,0.010318,305.995,0.0000152338
33600,233.13,685.032,0.0102365,306.086,0.0000152414
33650,233.27,680.032,0.0101557,306.178,0.0000152491
33700,233.41,675.072,0.0100756,306.27,0.0000152568
33750,233.55,670.151,0.00999611,306.362,0.0000152645
33800,233.69,665.269,0.00991734,306.454,0.0000152722
33850,233.83,660.426,0.00983924,306.546,0.0000152799
33900,233.97,655.62,0.00976181,306.637,0.0000152875
33950,234.11,650.852,0.00968502,306.729,0.0000152952
34000,234.25,646.122,0.00960889,306.821,0.0000153029
34050,234.39,641.429,0.0095334,306.913,0.0000153106
34100,234.53,636.773,0.00945855,307.004,0.0000153182
34150,234.67,632.153,0.00938432,307.096,0.0000153259
34200,234.81,627.57,0.00931073,307.187,0.0000153335
34250,234.95,623.023,0.00923776,307.279,0.0000153412
34300,235.09,618.511,0.0091654,307.37,0.0000153489
34350,235.23,614.034,0.00909365,307.462,0.0000153565
34400,235.37,609.593,0.0090225,307.553,0.0000153642
34450,235.51,605.186,0.00895195,307.645,0.0000153718
34500,235.65,600.814,0.008882,307.736,0.0000153795
34550,235.79,596.476,0.00881263,307.828,0.0000153871
34600,235.93,592.172,0.00874385,307.919,0.0000153948
34650,236.07,587.901,0.00867564,308.01,0.0000154024
34700,236.21,583.664,0.008608,308.102,0.0000154101
34750,236.35,579.459,0.00854094,308.193,0.0000154177
34800,236.49,575.288,0.00847443,308.284,0.0000154254
34850,236.63,571.149,0.00840848,308.376,0.000015433
34900,236.77,567.042,0.00834308,308.467,0.0000154406
34950,236.91,562.967,0.00827823,308.558,0.0000154483
35000,237.05,558.924,0.00821392,308.649,0.0000154559
35050,237.19,554.912,0.00815015,308.74,0.0000154635
35100,237.33,550.931,0.00808691,308.831,0.0000154712
35150,237.47,546.981,0.0080242,308.922,0.0000154788
35200,237.61,543.062,0.00796201,309.013,0.0000154864
35250,237.75,539.173,0.00790034,309.104,0.000015494
35300,237.89,535.314,0.00783918,309.195,0.0000155017
35350,238.03,531.485,0.00777853,309.286,0.0000155093
35400,238.17,527.686,0.00771839,309.377,0.0000155169
35450,238.31,523.916,0.00765874,309.468,0.0000155245
35500,238.45,520.175,0.00759959,309.559,0.0000155321
35550,238.59,516.463,0.00754094,309.65,0.0000155397
35600,238.73,512.78,0.00748277,309.741,0.0000155474
35650,238.87,509.125,0.00742508,309.832,0.000015555
35700,239.01,505.498,0.00736787,309.922,0.0000155626
35750,239.15,501.9,0.00731113,310.013,0.0000155702
35800,239.29,498.329,0.00725486,310.104,0.0000155778
35850,239.43,494.785,0.00719906,310.195,0.0000155854
35900,239.57,491.269,0.00714372,310.285,0.000015593
35950,239.71,487.779,0.00708884,310.376,0.0000156006
36000,239.85,484.317,0.00703441,310.467,0.0000156082
36050,239.99,480.881,0.00698043,310.557,0.0000156158
36100,240.13,477.471,0.0069269,310.648,0.0000156233
36150,240.27,474.088,0.00687381,310.738,0.0000156309
36200,240.41,470.73,0.00682115,310.829,0.0000156385
36250,240.55,467.398,0.00676893,310.919,0.0000156461
36300,240.69,464.092,0.00671714,311.01,0.0000156537
36350,240.83,460.811,0.00666577,311.1,0.0000156613
36400,240.97,457.555,0.00661483,311.191,0.0000156688
36450,241.11,454.324,0.0065643,311.281,0.0000156764
36500,241.25,451.118,0.00651419,311.371,0.000015684
36550,241.39,447.936,0.00646449,311.462,0.0000156916
36600,241.53,444.778,0.0064152,311.552,0.0000156991
36650,241.67,441.645,0.00636632,311.642,0.0000157067
36700,241.81,438.535,0.00631783,311.733,0.0000157143
36750,241.95,435.449,0.00626974,311.823,0.0000157218
36800,242.09,432.386,0.00622205,311.913,0.0000157294
36850,242.23,429.347,0.00617474,312.003,0.000015737
36900,242.37,426.331,0.00612782,312.093,0.0000157445
36950,242.51,423.338,0.00608128,312.183,0.0000157521
37000,242.65,420.367,0.00603513,312.274,0.0000157596
37050,242.79,417.419,0.00598935,312.364,0.0000157672
37100,242.93,414.494,0.00594394,312.454,0.0000157748
37150,243.07,411.59,0.00589891,312.544,0.0000157823
37200,243.21,408.709,0.00585424,312.634,0.0000157898
37250,243.35,405.849,0.00580993,312.724,0.0000157974
37300,243.49,403.011,0.00576599,312.814,0.0000158049
37350,243.63,400.194,0.0057224,312.904,0.0000158125
37400,243.77,397.399,0.00567917,312.993,0.00001582
37450,243.91,394.625,0.00563629,313.083,0.0000158276
37500,244.05,391.872,0.00559375,313.173,0.0000158351
37550,244.19,389.139,0.00555156,313.263,0.0000158426
37600,244.33,386.427,0.00550972,313.353,0.0000158502
37650,244.47,383.736,0.00546821,313.442,0.0000158577
37700,244.61,381.065,0.00542704,313.532,0.0000158652
37750,244.75,378.414,0.0053862,313.622,0.0000158728
37800,244.89,375.783,0.00534569,313.712,0.0000158803
37850,245.03,373.172,0.00530551,313.801,0.0000158878
37900,245.17,370.58,0.00526566,313.891,0.0000158953
37950,245.31,368.008,0.00522612,313.981,0.0000159029
38000,245.45,365.455,0.00518691,314.07,0.0000159104
38050,245.59,362.921,0.00514801,314.16,0.0000159179
38100,245.73,360.406,0.00510943,314.249,0.0000159254
38150,245.87,357.91,0.00507115,314.339,0.0000159329
38200,246.01,355.433,0.00503319,314.428,0.0000159404
38250,246.15,352.974,0.00499553,314.518,0.0000159479
38300,246.29,350.534,0.00495817,314.607,0.0000159554
38350,246.43,348.112,0.00492112,314.696,0.0000159629
38400,246.57,345.708,0.00488436,314.786,0.0000159704
38450,246.71,343.322,0.00484789,314.875,0.0000159779
38500,246.85,340.954,0.00481172,314.965,0.0000159854
38550,246.99,338.603,0.00477584,315.054,0.0000159929
38600,247.13,336.27,0.00474025,315.143,0.0000160004
38650,247.27,333.955,0.00470494,315.232,0.0000160079
38700,247.41,331.656,0.00466992,315.322,0.0000160154
38750,247.55,329.375,0.00463517,315.411,0.0000160229
38800,247.69,327.111,0.00460071,315.5,0.0000160304
38850,247.83,324.863,0.00456651,315.589,0.0000160379
38900,247.97,322.632,0.0045326,315.678,0.0000160454
38950,248.11,320.418,0.00449895,315.767,0.0000160529
39000,248.25,318.22,0.00446557,315.856,0.0000160603
39050,248.39,316.039,0.00443246,315.945,0.0000160678
39100,248.53,313.874,0.00439961,316.034,0.0000160753
39150,248.67,311.724,0.00436702,316.123,0.0000160828
39200,248.81,309.591,0.0043347,316.212,0.0000160902
39250,248.95,307.473,0.00430263,316.301,0.0000160977
39300,249.09,305.372,0.00427081,316.39,0.0000161052
39350,249.23,303.285,0.00423925,316.479,0.0000161127
39400,249.37,301.214,0.00420794,316.568,0.0000161201
39450,249.51,299.159,0.00417688,316.657,0.0000161276
39500,249.65,297.118,0.00414606,316.746,0.000016135
39550,249.79,295.093,0.00411549,316.835,0.0000161425
39600,249.93,293.082,0.00408516,316.923,0.00001615
39650,250.07,291.086,0.00405507,317.012,0.0000161574
39700,250.21,289.105,0.00402522,317.101,0.0000161649
39750,250.35,287.139,0.00399561,317.19,0.0000161723
39800,250.49,285.187,0.00396623,317.278,0.0000161798
39850,250.63,283.249,0.00393708,317.367,0.0000161872
39900,250.77,281.326,0.00390816,317.455,0.0000161947
39950,250.91,279.417,0.00387947,317.544,0.0000162021
40000,251.05,277.522,0.00385101,317.633,0.0000162096
40050,251.19,275.64,0.00382277,317.721,0.000016217
40100,251.33,273.773,0.00379476,317.81,0.0000162245
40150,251.47,271.919,0.00376696,317.898,0.0000162319
40200,251.61,270.079,0.00373939,317.987,0.0000162393
40250,251.75,268.252,0.00371203,318.075,0.0000162468
40300,251.89,266.438,0.00368488,318.164,0.0000162542
40350,252.03,264.638,0.00365795,318.252,0.0000162616
40400,252.17,262.851,0.00363123,318.34,0.0000162691
40450,252.31,261.077,0.00360473,318.429,0.0000162765
40500,252.45,259.316,0.00357842,318.517,0.0000162839
40550,252.59,257.568,0.00355233,318.605,0.0000162913
40600,252.73,255.832,0.00352644,318.694,0.0000162988
40650,252.87,254.109,0.00350075,318.782,0.0000163062
40700,253.01,252.399,0.00347527,318.87,0.0000163136
40750,253.15,250.701,0.00344998,318.958,0.000016321
40800,253.29,249.016,0.00342489,319.047,0.0000163284
40850,253.43,247.343,0.0034,319.135,0.0000163358
40900,253.57,245.682,0.0033753,319.223,0.0000163433
40950,253.71,244.033,0.0033508,319.311,0.0000163507
41000,253.85,242.395,0.00332648,319.399,0.0000163581
41050,253.99,240.77,0.00330236,319.487,0.0000163655
41100,254.13,239.157,0.00327842,319.575,0.0000163729
41150,254.27,237.555,0.00325468,319.663,0.0000163803
41200,254.41,235.965,0.00323111,319.751,0.0000163877
41250,254.55,234.387,0.00320773,319.839,0.0000163951
41300,254.69,232.819,0.00318453,319.927,0.0000164025
41350,254.83,231.264,0.00316151,320.015,0.0000164099
41400,254.97,229.719,0.00313867,320.103,0.0000164173
41450,255.11,228.186,0.00311601,320.191,0.0000164247
